"ID","Name","Type","Num_Parties","Is_Switcher"
"Malik_Annayat_Ullah_Khokhar","Malik Annayat Ullah Khokhar","Candidate",1,FALSE
"Rajkumar","Rajkumar","Candidate",1,FALSE
"Jawad_Aziz","Jawad Aziz","Candidate",1,FALSE
"M_iqbal_Haider","M.iqbal Haider","Candidate",1,FALSE
"Molvi_Iqbal_Haider_Advocate","Molvi Iqbal Haider Advocate","Candidate",1,FALSE
"Moulvi_Iqbal_Haider","Moulvi Iqbal Haider","Candidate",1,FALSE
"Tahir_Iqbal","Tahir Iqbal","Candidate",4,TRUE
"Engineer_Usman_Khan_Tarrakai","Engineer Usman Khan Tarrakai","Candidate",1,FALSE
"Mahr_Ghulam_Mustafa_Mangan_Advocate","Mahr Ghulam Mustafa Mangan Advocate","Candidate",1,FALSE
"Mohtarma_Nazish_Aslam_Advocate","Mohtarma Nazish Aslam Advocate","Candidate",1,FALSE
"Muhammad_Zafar_Iqbal_Gujjar","Muhammad Zafar Iqbal Gujjar","Candidate",1,FALSE
"Mushtaq_Ahmad_Bhatti","Mushtaq Ahmad Bhatti","Candidate",1,FALSE
"Qari_Nasir_Mahmood_Mughal","Qari Nasir Mahmood Mughal","Candidate",1,FALSE
"Rana_Akbar_Abbas","Rana Akbar Abbas","Candidate",1,FALSE
"Rana_Basharat_Ali","Rana Basharat Ali","Candidate",1,FALSE
"Sayyeda_Nighat_Ishfaq","Sayyeda Nighat Ishfaq","Candidate",1,FALSE
"Abdul_Khaliq_Shamas","Abdul Khaliq Shamas","Candidate",1,FALSE
"Abdul_Qadir","Abdul Qadir","Candidate",6,TRUE
"Abdul_Razaque","Abdul Razaque","Candidate",1,FALSE
"Begum_Shahmeem_Arshad_Minhas","Begum Shahmeem Arshad Minhas","Candidate",1,FALSE
"Ch_Dilbar_Hussain_Ghaffari","Ch Dilbar Hussain Ghaffari","Candidate",1,FALSE
