"Candidate_ID","Candidate_Name","Num_Parties"
"Rana_Muhammad_Faraz_Noon","Rana Muhammad Faraz Noon",2
"Rao_Muhammad_Ajmal_Khan","Rao Muhammad Ajmal Khan",2
"Rashid_Ali","Rashid Ali",2
"Riaz_Ahmed","Riaz Ahmed",2
"Saeed_Ur_Rehman","Saeed Ur Rehman",2
"Safdar_Ali","Safdar Ali",2
"Sahibzada_Muhammad_Hamid_Raza","Sahibzada Muhammad Hamid Raza",2
"Sahibzada_Tariq_Ullah","Sahibzada Tariq Ullah",2
"Saif_Ur_Rehman","Saif Ur Rehman",2
"Saleem_Abbas","Saleem Abbas",2
"Saleh_Muhammad","Saleh Muhammad",2
"Salim_Rehman","Salim Rehman",2
"Sana_Ullah","Sana Ullah",2
"Sardar_Awais_Ahmad_Khan_Leghari","Sardar Awais Ahmad Khan Leghari",2
"Sardar_Ghulam_Mustafa_Khaskheli","Sardar Ghulam Mustafa Khaskheli",2
"Sardar_Khan","Sardar Khan",2
"Sardar_Mansoor_Hayat_Tamman","Sardar Mansoor Hayat Tamman",2
"Sardar_Meer_Badshah_Khan_Qaisrani","Sardar Meer Badshah Khan Qaisrani",2
"Sardar_Muhammad_Mushtaq_Khan","Sardar Muhammad Mushtaq Khan",2
"Sardar_Muhammad_Yaqoob","Sardar Muhammad Yaqoob",2
"Shah_Abdul_Aziz","Shah Abdul Aziz",2
"Shah_Faisal_Afridi","Shah Faisal Afridi",2
"Shah_Nawaz","Shah Nawaz",2
"Sheikh_Rasheed_Ahmed","Sheikh Rasheed Ahmed",2
"Sohail_Ahmad","Sohail Ahmad",2
"Sohail_Mansoor_Khawaja","Sohail Mansoor Khawaja",2
"Syed_Ali_Hussain","Syed Ali Hussain",2
"Syed_Asghar_Ali_Shah","Syed Asghar Ali Shah",2
"Syed_Faisal_Imam","Syed Faisal Imam",2
"Syed_Fakhar_Imam","Syed Fakhar Imam",2
"Syed_Ghous_Ali_Shah","Syed Ghous Ali Shah",2
"Syed_Javed_Hussain_Shah","Syed Javed Hussain Shah",2
