"Candidate_ID","Closeness"
"Engineer_Hamid_Iqbal_Khan",0.509080188679245
"Engineer_Muhammad_Tariq_Khattak",0.509080188679245
"Engr_dawar_Khan_Kundi",0.509080188679245
"Faisal_Karim_Kundi",0.509080188679245
"Faisal_Sakhi_Butt",0.509080188679245
"Faizullah_Chaichee",0.509080188679245
"Fakhar_Umar_Hayat",0.509080188679245
"Faqir_Sher_Muhammad_Bilalani",0.509080188679245
"Faraz_Hashmi",0.509080188679245
"Farhana",0.509080188679245
"Farooq_Akbar_Kahloon",0.509080188679245
"Faryal_Talpur",0.509080188679245
"Farzana_Sherin",0.509080188679245
"Fateh_Ullah_Khan",0.509080188679245
"Fazal_e_Rabi",0.509080188679245
"Fazal_Rahman",0.509080188679245
"Fazal_Wadood",0.509080188679245
"Fida_Hussain_Dero",0.509080188679245
"Fozia_Behram",0.509080188679245
"Ghanva_Bhutto",0.509080188679245
"Ghanwa_Bhutto",0.509080188679245
"Ghayas-Ud-Din_Khan",0.509080188679245
"Ghinva_Bhutto",0.509080188679245
"Ghinwa_Bhutto",0.509080188679245
"Ghulam_Akbar_Lasi",0.509080188679245
"Ghulam_Ali_Nizamani",0.509080188679245
"Ghulam_Farid_Kathia",0.509080188679245
"Ghulam_Muhammad_Junejo_Alias_Gul_Junejo",0.509080188679245
"Ghulam_Murtaza_Satti",0.509080188679245
"Ghulam_Rabbani_Khar",0.509080188679245
"Ghulam_Sarwar_Khan_Khichi",0.509080188679245
"Gulzar_Ahmed_Chaudhary",0.509080188679245
"Hafeez-Ullah_Ishaq",0.509080188679245
"Hafiz_Hussain_Ahmed_Madni",0.509080188679245
"Haider_Ali_Khan_Kharal",0.509080188679245
"Hajan_Allah_Rakhi",0.509080188679245
"Haji_Misar_Khan",0.509080188679245
"Haji_Muhammad_Ishaq",0.509080188679245
"Haji_Nafees_Ahmed_Usmani_Advocate",0.509080188679245
"Haji_Rasool_Bux_Chandio",0.509080188679245
"Hamid_Ali_Bhatti",0.509080188679245
"Hamid_Saeed_Kazmi",0.509080188679245
"Haris_Meeran",0.509080188679245
"Hasnain_Ijaz_Khan_Shahani",0.509080188679245
"Hayat_Ullah_Khan_Tareen",0.509080188679245
"Hazrat_Wali",0.509080188679245
"Hina_Rabbani_Khar",0.509080188679245
"Ibne_Saeed_Ch_",0.509080188679245
"Iftikhar_Ahmed_Cheema_Advocate",0.509080188679245
"Iftikhar_Shahid",0.509080188679245
"Ihsan_Ur_Rahman_Mazari",0.509080188679245
"Imam_Ali_Samejo",0.509080188679245
"Imdad_Ullah_Abbasi",0.509080188679245
"Imran",0.509080188679245
"Imtiaz_Safdar_Waraich",0.509080188679245
"Imtiaz_Safdar_Warraich",0.509080188679245
"Iqbal_Ahmad_Khan",0.509080188679245
"Irfan_Ali_Leghari",0.509080188679245
"Irfan_Qureshi",0.509080188679245
"Israr_Ahmed_Khan",0.509080188679245
"Jahangir_Badar",0.509080188679245
"Jam_Abdul_Karim_Bijar",0.509080188679245
"Jamshed_Ahmad_Khan_Dasti",0.509080188679245
"Javaid_Saeed_Kazmi",0.509080188679245
"Javed_Iqbal_Warraich",0.509080188679245
"Javeed_Iqbal_Waraich",0.509080188679245
"Jawad_Hussain",0.509080188679245
"Jawaid_Sheikh",0.509080188679245
"Kakagi_Muhammad_Zahoor",0.509080188679245
"Kamal_Khan",0.509080188679245
"Kamran_Yousaf_Ghumman",0.509080188679245
"Khadeeja_Aamir",0.509080188679245
"Khair_Muhammad_Khan_Tareen",0.509080188679245
"Khalilu_Rehman",0.509080188679245
"Khan_Daraz",0.509080188679245
"Khanim_Ullah",0.509080188679245
"Khanzada_Khan",0.509080188679245
"Khawaja_Atta_Ullah_Khan_Tonsa_Sharif",0.509080188679245
"Khawaja_Ghulam_Hussain",0.509080188679245
"Khawaja_Kaleem-Ud-Din_Koreja_",0.509080188679245
"Khawaja_Kaleem_Ud_Din_Koreja",0.509080188679245
"Khawaja_Muhammad_Saleh",0.509080188679245
"Khawaja_Sheeraz_Mehmood",0.509080188679245
"Khawja_Mudassir_Mehmood",0.509080188679245
"Khizarul_Islam",0.509080188679245
"Khurram_Pervaiz_Raja",0.509080188679245
"Khuwaja_Ghulam_Hussain",0.509080188679245
"Khwaja_Ghulam_Rasool_Koreja",0.509080188679245
"Kiramatullah_Khan",0.509080188679245
"Lal_Muhammad_Khan",0.509080188679245
"Liaqat_Ali_Khan",0.509080188679245
"Lt_col__r__Sultan_Sikandar_Ghumman_",0.509080188679245
"m_Bilal_Khan_Sherpao",0.509080188679245
"m_Israr_Tareen",0.509080188679245
"Mahar_Khliq_Yar_Khan_Lak",0.509080188679245
"Mahesh_Kumar_Malani",0.509080188679245
"Mahesh_Kumar_Malhani",0.509080188679245
"Mahmood_Akhtar_Ghuman",0.509080188679245
"Mahr_Irshad_Ahmed_Siyal",0.509080188679245
"Maj_Retd_Liaqat_Ali_Shah_Gailani",0.509080188679245
"Makhddom_Syed_Murtaza_Mehmood",0.509080188679245
"Makhdoom_Amad-Ud-Din",0.509080188679245
"Makhdoom_Jamil_Uz_Zaman",0.509080188679245
"Makhdoom_Muhammad_Ameen_Fahim",0.509080188679245
"Makhdoom_Shahab-Ud-Din",0.509080188679245
"Makhdoom_Shahab_Ud_Din",0.509080188679245
"Makhdoom_Syed_Ali_Hassan_Gilani",0.509080188679245
"Makhdoom_Syed_Mustafa_Mehmood",0.509080188679245
"Makhdoom_Tahir_Rashid",0.509080188679245
"Makhdum_Syed_Mustafa_Mahmud",0.509080188679245
"Makhdum_Syed_Usman_Mahmud",0.509080188679245
"Malak_Azmat_Khan",0.509080188679245
"Malak_Syed_Noor_Akbar",0.509080188679245
"Malik_Aamer_Fida_Paracha",0.509080188679245
"Malik_Amjad_Aziz_Khan",0.509080188679245
"Malik_Asad_Sikandar",0.509080188679245
"Malik_Asghar_Ali_Qaisar",0.509080188679245
"Malik_Irfan_Ahmad_Gheba",0.509080188679245
"Malik_Khalid_Awan",0.509080188679245
"Malik_Muhammad_Amir_Dogar",0.509080188679245
"Malik_Mushtaq_Ahmad",0.509080188679245
"Malik_Nawab_Sher_Waseer",0.509080188679245
"Malik_Nawab_Sher_Wasseer",0.509080188679245
"Malik_Niaz_Ahmad",0.509080188679245
"Malik_Raza_Rabbani_Khar",0.509080188679245
"Malik_Salah-Ud-Din_Dogar",0.509080188679245
"Malik_Sardar_Muhammad_Tralay_Wala",0.509080188679245
"Malik_Shah",0.509080188679245
"Malik_Shoukat_Hayyat_Awan",0.509080188679245
"Malik_Sohail",0.509080188679245
