"Candidate_ID","Degree"
"Mohammad_Ayaz_Soomro",709
"Mohammad_Moazim_Ali_Khan",709
"Mohammad_Sagheer",709
"Mohammad_Sulleman",709
"Mr__Makhdoom_Muhammad_Ameen_Faheem",709
"Mr__Peeral_Majeedano",709
"Mr__Shahid_Hussain_Bhutto",709
"Mr_imran_Zafar_Leghari",709
"Mrs_faryal_Talpur",709
"Mubeen_Arshad",709
"Muhammad_Afaque_Khan_Alias_Shahid",709
"Muhammad_Alam_Khan",709
"Muhammad_Ali_Laleka",709
"Muhammad_Ali_Sanul_Awan",709
"Muhammad_Amjid_Abbas",709
"Muhammad_Arshad_Abbas_Qureshi",709
"Muhammad_Asghar_Lal",709
"Muhammad_Ashraf_Bhatti",709
"Muhammad_Asif_Khan",709
"Muhammad_Azam_Afridi",709
"Muhammad_Farooq_Azam_Malik",709
"Muhammad_Haider_Shah",709
"Muhammad_Hakeem_Khan",709
"Muhammad_Hassan_Khan",709
"Muhammad_Hyder_Ali_Bukhari",709
"Muhammad_Idrees_Khattak",709
"Muhammad_Ijaz_Virk_Advocate_",709
"Muhammad_Irshad_Khan",709
"Muhammad_Jamshed",709
"Muhammad_Kashif_Bhabha",709
"Muhammad_Khalid_Bashir_Tarnsporter",709
"Muhammad_Khan_Nadeem",709
"Muhammad_Moazam_Ali_Khan_Jatoi",709
"Muhammad_Mohsin_Ali_Qureshi",709
"Muhammad_Murad_Baloch",709
"Muhammad_Muzamil_Qureshi",709
"Muhammad_Naveed_Ch_",709
"Muhammad_Nawazish_Ali_Pirzada",709
"Muhammad_Nisar_Ahmad_Khan",709
"Muhammad_Rashid_Hussain_Rabani",709
"Muhammad_Saif_Ullah_Khan_Sadozai_Advocate",709
"Muhammad_Sardar_Bahadar_Babar_Khan",709
"Muhammad_Shah_Jehan",709
"Muhammad_Shahjahan_Khan",709
"Muhammad_Shahryar_Khan_Mahar",709
"Muhammad_Shakeel_Shah_Gilani",709
"Muhammad_Shakeel_Ur_Rehman",709
"Muhammad_Shuja_Khan",709
"Muhammad_Tariq_Anees",709
"Muhammad_Tariq_Khan_Niazi",709
"Muhammad_Tariq_Tarar",709
"Muhammad_Waqas",709
"Muhammad_Yaqoob_Ziaratwal",709
"Muhammad_Yasin",709
"Muhammad_Yousuf_Ali_Ghallu",709
"Muhammad_Zaki_Chaudhary",709
"Muhammad_Zaki_Chaudhry",709
"Muhammad_Zulfiqar_Ali",709
"Muhtarma_Ghanwa_Bhutto",709
"Mukhtar_Abbas",709
"Mullna_Abdul_Sattar",709
"Mumtaz_Ali_Cheema",709
"Munawar_Hayat_Abasi",709
"Mushtaq_Ahmad_Mohal__Advocate_High_Court_",709
"Nadeem_Afzal_Gondal",709
"Nadeem_Ahmad_Awan",709
"Naeem_Dastgir_Khan",709
"Naeem_Mehmood_Rana",709
"Nafisa_Shah",709
"Najam_Ud_Din_Khan",709
"Najam_Uddin_Khan",709
"Najmuddin_Khan",709
"Naseem_Khan",709
"Naseer_Mohammad_Khan",709
"Nasira_Arshad",709
"Nasira_Meo",709
"Nasrullah_Roonjha",709
"Natasha_Daultana",709
"Nauman_Islam_Shaikh",709
"Nauman_Islam_Shaikh_",709
"Nawab_Abdul_Ghani_Talpur",709
"Nawab_Ali_Wassan",709
"Nawab_Din",709
"Nawab_Malik_Amir_Muhammad_Khan",709
"Nawab_Mohammad_Yousif_Talpur",709
"Nawab_Muhammad_Yousaf_Talpur",709
"Nawab_Muhammad_Yousif_Talpur",709
"Nawabzada_Abdul_Qadir_Khan",709
"Nawabzada_Ghazanfar_Ali_Gul",709
"Nawabzada_Iftikhar_Ahmad_Khan",709
"Nawabzada_Iftikhar_Ahmed_Khan",709
"Nawabzada_Mir_Amir_Ali_Khan_Magsi",709
"Nawabzada_Mir_Jamal_Khan_Raisani",709
"Nazar_Muhammad",709
"Nazar_Muhammad_Gondal",709
"Nazar_Muhammad_Kakar",709
"Nazeer_Ahmad",709
"Nazir_Ahmed_Bhugio",709
"Nazir_Ahmed_Bughio",709
"Neha_Javed",709
"Nida_Asim",709
"Nisar_Muhammad",709
"Noor_Naeem_Khan",709
"Noor_Ul_Ain",709
"Noor_Ul_Ain_Rai_Saeed",709
"Peer_Haider_Zaman_Quraishi",709
"Peeral_Majeedano",709
"Pir_Aftab_Hussain_Shah_Jilani",709
"Pir_Aftab_Hussain_Shah_Jillani",709
"Pir_Ameer_Ali_Shah_Jilani",709
"Pir_Bux_Jamot",709
"Pir_Haider_Zaman_Qureshi",709
"Pir_Noor_Muhammad_Shah_Jeelani",709
"Pir_Shafqat_Hussain_Shah_Jilani",709
"Pir_Syed_Fazal_Ali_Shah_Jeelani",709
"Pir_Syed_Fazal_Ali_Shah_Jillani",709
"Qadir_Khan_Mando_Khail",709
"Qamar_Abbas",709
"Qamar_Zaman_Kaira",709
"Qazi_Muhammad_Azhar_Advocate",709
"Qazi_Muhammad_Bashir",709
"Qurban_Ali_Kalwar",709
"Quttab_Din",709
"Rafiq_Ahmed_Jamali",709
"Rafique_Ahmed_Jamali",709
