"Candidate_ID","Betweenness"
"Nasar_Ullah_Khan_Jarral",0
"Paras_Shah",0
"Qaiser_Nawaz_Khan_Babar",0
"Qasim_Ali",0
"Raja_Amir_Rasheed",0
"Rana_Arshad_Saeed_Khan",0
"Riaz_Ahmad",0
"Riaz_Hussain_Sewag",0
"Sahibzada_Ahmed_Raza_Khan_Qasoori",0
"Saira_Goga_Daughter_of_Goga_Pehalwan",0
"Saqlain_Abbas_Bangash",0
"Saradar_Sikandar_Hayat_Khan_Goopang",0
"Sardar_Ghulam_Mustafa",0
"Sarmir_Khan",0
"Shafiur_Rahman",0
"Shaheen_Munawer",0
"Shoaib_Khaskhali",0
"Syed_Adnan_Haider_Jafri",0
"Syed_Ali_Abbas_Kazmi",0
"Syed_Imran_Sultan",0
"Syed_Marghoob_Hussain_Abdi",0
"Syed_Naveed_Ali_Shah",0
"Syed_Sajjad_Hussain_Shah_Kazmi",0
"Syed_Zakir_Shah",0
"Tayyaba_Zameer",0
"Waheed_Depal",0
"Waseem_Akhter_Raja",0
"Yar_Badshah",0
"Mian_Saghir_Ahmed_Malvi",0
"Muhammad_Naseem_Sadiq",0
"Sheikh_Rashid_Shafiq",0
"Abdul_Matin_Khan",0
"Abdul_Rasheed_Nasir",0
"Abdul_Rehman_Khan_Yousufzai",0
"Abdur_Rauf",0
"Ahmad_Ali",0
"Ahmad_Khan",0
"Ahmadullah",0
"Ahmed_Zaman",0
"Aimal_Wali_Khan",0
"Alhaj_Ghulam_Ahmad_Bilour",0
"Aman_Masood",0
"Ameer_Haider_Azam_Khan",0
"Amir_Haider_Khan",0
"Amir_Nawab",0
"Anwar_Zaib",0
"Arbab_Inam_Ullah_Khan",0
"Arbab_Mohammad_Ayub_Jan",0
"Arbab_Muhammad_Zahir_Khan",0
"Arbab_Najeeb_Ullah_Khan",0
"Arbab_Najeeb_Ullah_Khan_Khalil",0
"Arshad_Mansoor_Shah",0
"Arshad_Sohail",0
"Asfandiyar_Wali_Khan",0
"Asfandyar_Wali_Khan",0
"Asghar_Khan",0
"Ashraf_Ullah",0
"Asif_Ali",0
"Bahadar_Khan",0
"Bashir_Khan_Umerzai",0
"Bismillah_Jan",0
"Bismillah_Jan_Luni",0
"Ch__Ghulam_Mustafa",0
"Dost_Muhammad",0
"Doulat_Ali",0
"Dr_Sherbaz_Khan",0
"Engineer_Noor_Ahmed_Khan",0
"Faisal_Imran_Khan_Niazi",0
"Farid_Ullah_Dumar",0
"Gul_Afzal",0
"Habib_Ullah_Khan",0
"Hafiz_Zardullah_Khan_Hassan_Zai_",0
"Haji_Ghulam_Ahmad_Bilour",0
"Haji_Naseem-Ur-Rehman",0
"Haji_Nizamuddin_Kakar",0
"Haji_Rehmanullah",0
"Hameed_Ullah",0
"Hamid_Khan_Toofan",0
"Hamidullah_Khan",0
"Inayat_Khan",0
"Iqbal_Zaib_Khan",0
"Irfan_Ali",0
"Irshad_Khan",0
"Jumma_Khan_Babar",0
"Kabir_Ahmed_Sher",0
"Khadija_Bibi",0
"Khan_Parvez",0
"Khan_Zeb",0
"Khudai_Dad",0
"Khursheed_Begum_Saeed",0
"Khurshid",0
"m_Shafi",0
"Maj_r__Mahr_Muhammad_Ramzan",0
"Malik_Dad_Muhammad_Tareen",0
"Malik_Darya_Khan",0
"Malik_Muhammad_Usman_Achakzai_",0
"Mamoon_Khan_Kakar",0
"Masood_Abbas",0
"Masood_Abbas_Khattak",0
"Mian_Babar_Shah_Kaka_Khel",0
"Mohammad_Ayub_Khan_Advocate",0
"Mohammad_Farooq_Khan",0
"Muhammad_Ayaz_Khan",0
"Muhammad_Ayub_Khan",0
"Muhammad_Azam_Khan",0
"Muhammad_Daud_Khan_Khattak",0
"Muhammad_Farooq_Bangsh",0
"Muhammad_Farooq_Khan",0
"Muhammad_Fayaz_Khan",0
"Muhammad_Hashim_Babar",0
"Muhammad_Kamal",0
"Muhammad_Khan_Afridi",0
"Muhammad_Riaz_Khan",0
"Muhammad_Sajid_Taheem_Advocate",0
"Muhammad_Sharif_Khattak",0
"Muhammad_Taimoor_Khan",0
"Muhammad_Younus_Khan",0
"Muhammad_Zahid_Khan",0
"Muhibullah_Kakar",0
"Munir_Shah",0
"Muzafer_Ul_Mulk",0
"Muzaffar-Ul-Mulk",0
"Naik_Muhammad_Kakar",0
"Naimat_Khalil",0
"Nawabzada_Khawaja_Muhammad_Khan_Hoti_Alias_Toti_Khan",0
"Nawabzada_Mohamamd_Amin_Khan_Jogezai",0
"Nawaz_Ali_Burfat",0
"Nisar_Ahmed",0
"Noor_Ahmed",0
"Noor_Aslam",0
"Owais_Khan",0
"Perviz_Khan_Advocate",0
"Qalandar_Bux",0
"Rahmat_Shah_Sael",0
"Rana_Mushtaq_Ahmad",0
"Sadeed_Ur_Rehman",0
"Sadid_Ur_Rahman",0
"Sajid_Mahmood",0
"Saqib_Ullah_Khan",0
"Sarfaraz_Khan_Jadoon",0
"Shah_Hussain",0
"Shah_Mohammad",0
"Shahi_Khan",0
"Shahi_Khan_Sherani",0
"Shahnawaz_Khanzada",0
"Shahzia_Batul",0
"Shazia_Bibi",0
"Sheheryar_Khan",0
"Sher_Nawaz_Khattak",0
"Sherullah_Khan",0
"Sultan_Khan_Mandokhail",0
"Sultan_Khan_Mandokhel",0
"Syed_Abdul_Qayyum",0
"Syed_Basharat_Hussain",0
"Syed_Haider_Ali_Shah",0
"Syed_Haroon_Shah",0
"Syed_Karam_Darwesh",0
"Syed_Masood_Shah",0
"Syed_Muhammad_Afzal",0
"Syed_Muhammad_Hanif",0
"Syed_Muzafar_Ali_Shah_Jan",0
"Tariq_Hameed_Khattak",0
"Umar_Hayat",0
"Umar_Khan",0
"Waris_Khan",0
"Zain_Umar_Arbab",0
"Zarbali_Syed",0
"Shoaib_Amjad_Pervaiz",0
"Makhdoom_Muhammad_Ehsan",0
"Bashir_Khan",0
"Malik_Annayat_Ullah_Khokhar",0
"Rajkumar",0
"Jawad_Aziz",0
"M_iqbal_Haider",0
"Molvi_Iqbal_Haider_Advocate",0
"Moulvi_Iqbal_Haider",0
"Engineer_Usman_Khan_Tarrakai",0
"Mahr_Ghulam_Mustafa_Mangan_Advocate",0
"Mohtarma_Nazish_Aslam_Advocate",0
"Muhammad_Zafar_Iqbal_Gujjar",0
"Mushtaq_Ahmad_Bhatti",0
"Qari_Nasir_Mahmood_Mughal",0
"Rana_Akbar_Abbas",0
"Rana_Basharat_Ali",0
"Sayyeda_Nighat_Ishfaq",0
"Abdul_Khaliq_Shamas",0
"Abdul_Razaque",0
"Begum_Shahmeem_Arshad_Minhas",0
"Ch_Dilbar_Hussain_Ghaffari",0
"Chaudhary_Muhammad_Iqbal_Gujjar",0
"Gulana_Bibi",0
"Kanwar_Aamir_Sami",0
"Mahboob_Aftab_Khan",0
"Muhammad_Nasrullah_Arain",0
"Muhammad_Rashid",0
"Muhammad_Usama_Nawaz",0
"Nawab_Imran_Khan_Khilji",0
"Sheikh_Rashid_Ahmed",0
"Syed_Mustafsir_Hussain_Bukhari",0
"Syed_Rehan_Ali",0
"Zafar_Ahmed_Ghori",0
"Commander__r__Ayoub_Malik",0
"Ghulam_Qadir_Alias_Papu",0
"Khan_Zada",0
"Mian_Abdul_Qayum",0
"Mian_Ashiq_Hussain_Kamyana_Advocate",0
"Muhammad_Aslam_Miraj",0
"Muhammad_Athar_Khan_Advocate",0
"Bahri_Room",0
"Gul_Muhammad_Bhatti",0
"Gull_Muhammad_Bhatti__Retired_",0
"Sardar_Sher_Zaman_Khan_Qaisrani",0
"Makhdoom_Syed_Sami_Ul_Hassan_Gillani",0
"Muhammd_Farooq_Azam_Malik",0
"Bahi_Khan",0
"Jasim",0
"Khalid_Hussain_Magsi",0
"Mir_Shah_Jahan_Khan_Khetran",0
"Prince_Ahmed_Omar_Ahmedzai",0
"Qadha_Babar",0
"Rubina_Irfan",0
"Syed_Abdul_Karim",0
"Agha_Hassan_Baloch_Advocate",0
"Gaman_Khan",0
"Ghulam_Hadiar",0
"Haji_Noor_Muhammad_Shahwani",0
"Haq_Nawaz_Buzdar",0
"Jahanzaib_Baloch",0
"Khuda_Bukhsh",0
"Malik_Naveed_Dehwar",0
"Maqbool_Ahmed_Lehri",0
"Mir_Abdul_Ghafoor_Mengal",0
"Mir_Abdul_Rauf_Mengal",0
"Mohammad_Qasim_Roonjho",0
"Muhamamd_Akhtar_Mengal",0
"Muhammad_Akhtar_Mengal",0
"Muhammad_Akhter_Mengal",0
"Muhammad_Hashim",0
"Naib_Faqeer_Muhammad_Zahri",0
"Nawabzada_Aurangzeb_Jogezai",0
"Sayed_Essa_Nori",0
"Shair_Afgan",0
"Syed_Ahsan_Shah",0
"Wadera_Gulzar_Khan",0
"Zahid_Hussain",0
"Abdul_Rauf_Rind",0
"Ghulam_Farooq",0
"Gulam_Farooq",0
"Haji_Muhamad_Azeem",0
"Mir_Ali_Akbar",0
"Mir_Muhammad_Khan_Chandio",0
"Mir_Muhammad_Shoaib_Baloch",0
"Mir_Mujeeb_Rahman_Shahwani",0
"Muhammad_Arif_Badini",0
"Muhammad_Hanif_Baloch",0
"Muhammad_Qayyum_Baluch",0
"Noor_Ahmed_Adil",0
"Noor_Ahmed_Umrani",0
"Sayed_Akber_Shah",0
"Yaqoob_Bizenjo_",0
"Abid_Wazir",0
